time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/std,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/learning_rate
1332,3457024,2593,422,929.6514350500001,254.61,0.0004654027719368514,0.033755027,0.18921564519405365,0.2,0.31220703125,0.029327984899282455,0.005005939244165347,0.9970026751980186,0.7444072239566595,4230,0.0003
1332,3465216,2599,423,939.33202761,256.22,0.0002603791612813211,0.037898496,0.18868601322174072,0.2,0.32921142578125,0.008052131161093712,0.0011425531731219963,0.9988926090300083,0.7468979754950851,4240,0.0003
1332,3473408,2605,424,940.7150412299999,256.3,9.362416216021074e-05,0.032046672,0.18851995468139648,0.2,0.30836181640625,-0.03114694356918335,0.002393397062405711,0.9996309495763853,0.7498515867162496,4250,0.0003
1333,3481600,2611,425,940.8213750299999,256.24,0.0011647181552888243,0.036349565,0.1862180233001709,0.2,0.3293212890625,0.019467484205961227,0.0024245068760137658,0.9975413063075393,0.778554945718497,4260,0.0003
1333,3489792,2617,426,941.7010620499999,256.77,0.0006582801931216409,0.035304226,0.1857987642288208,0.2,0.321630859375,-0.028544601052999496,0.0004888080391538096,0.9983037774218246,0.7975999312940985,4270,0.0003
1333,3497984,2623,427,943.1746249299998,257.35,6.063699745197937e-05,0.035722263,0.18322904407978058,0.2,0.32315673828125,0.006770901381969452,0.0015954976799548604,0.999676550301956,0.8295889207627625,4280,0.0003
1333,3506176,2630,428,941.2419318799999,257.06,4.7912778683922855e-05,0.04179549,0.18286539614200592,0.2,0.33369140625,0.019100507721304893,0.0005558497814490693,0.9998183138959575,0.8415581879671663,4290,0.0003
1333,3514368,2636,429,939.9232736099999,256.84,0.002309912237694789,0.042965002,0.1806085854768753,0.2,0.345166015625,-0.03168308734893799,-0.004069395708393131,0.9926202362403274,0.8526467209216207,4300,0.0003
1333,3522560,2642,430,936.7399077300001,256.1,0.00036399492075531723,0.034978636,0.18090373277664185,0.2,0.3318359375,0.045994628220796585,-0.00047817263803153767,0.998366323648952,0.8765138295479119,4310,0.0003
1333,3530752,2648,431,941.1955019299999,256.83,0.00025441640085261953,0.03513526,0.18017800152301788,0.2,0.3405517578125,0.007567490451037884,-0.0014912820055542398,0.9986255867406726,0.8843578577507287,4320,0.0003
1333,3538944,2654,432,938.44664305,256.13,0.00010088585054006672,0.034804143,0.1811308115720749,0.2,0.32127685546875,0.008074762299656868,0.0028337046220258343,0.9996549478382803,0.8760175628121942,4330,0.0003
1333,3547136,2660,433,939.9957865,256.46,0.0030313830494378634,0.0322749,0.18177193403244019,0.2,0.340673828125,-0.009816119447350502,0.002200353344051109,0.9928133990615606,0.8605828248430043,4340,0.0003
1333,3555328,2666,434,937.77706268,256.05,0.00046412739100105683,0.041801967,0.18090204894542694,0.2,0.32747802734375,-0.04537585750222206,0.0013521275335733663,0.9969195430167019,0.8709654041565955,4350,0.0003
1333,3563520,2672,435,939.4608905399999,256.25,0.0029228732502303957,0.039234586,0.17957933247089386,0.2,0.32939453125,-0.019583851099014282,0.0022786045065004146,0.9928075475618243,0.8801409048493951,4360,0.0003
1333,3571712,2678,436,940.06313889,256.35,0.004083212286525395,0.037607387,0.18031513690948486,0.2,0.321337890625,-0.01732560805976391,0.002075810047244886,0.9914761241525412,0.8887366437818855,4370,0.0003
1333,3579904,2685,437,942.4065428700001,256.91,0.00022588883524576886,0.033325534,0.18174628913402557,0.2,0.31416015625,0.03675005957484245,0.004047882006852887,0.9985558034386486,0.8721780671738089,4380,0.0003
1333,3588096,2691,438,944.56831865,257.27,0.0001272600669096846,0.038588814,0.18138402700424194,0.2,0.325146484375,-0.020992252975702286,0.0003486207928290241,0.9994242347311229,0.8658649312332273,4390,0.0003
1333,3596288,2697,439,944.8192881900001,257.04,7.698404767921829e-05,0.03533168,0.1803644746541977,0.2,0.32589111328125,-0.006411429028958082,0.001586048730132461,0.9997293346968945,0.8770560308825225,4400,0.0003
1333,3604480,2703,440,943.8321153099998,256.61,6.602760463465529e-05,0.029235527,0.17935587465763092,0.2,0.31837158203125,-0.016949811950325966,0.0018801418738803477,0.9997967404051451,0.8999828297179192,4410,0.0003
1333,3612672,2709,441,943.2801484900001,256.3,9.852978114395227e-05,0.036105067,0.17937226593494415,0.2,0.33863525390625,-0.022001566365361214,0.0019643858173367334,0.9997340541740414,0.9029968360904604,4420,0.0003
1333,3620864,2715,442,939.42067679,255.34,5.623910635677021e-05,0.038295392,0.17882220447063446,0.2,0.3247314453125,-0.0032320059835910797,0.00397011459863279,0.9998490565631073,0.9069541161414236,4430,0.0003
1333,3629056,2721,443,937.8469100599999,255.15,0.00016958945484901733,0.03955324,0.17920547723770142,0.2,0.352197265625,0.01353700552135706,-0.0014704077853821217,0.9992815256118774,0.905301772756502,4440,0.0003
1333,3637248,2727,444,938.53764167,255.43,0.00399078739350216,0.03375471,0.17837657034397125,0.2,0.34461669921875,0.005320004653185606,-0.0018787381260153778,0.9927535215392709,0.9102914234623313,4450,0.0003
1333,3645440,2734,445,940.29648786,255.7,0.00010412713505871806,0.034210898,0.1776329129934311,0.2,0.30103759765625,-0.051275234669446945,0.005320924532315985,0.9989856345346197,0.9232150887604803,4460,0.0003
1333,3653632,2740,446,940.7350266800001,255.62,7.637212515732017e-05,0.033499263,0.17686247825622559,0.2,0.32349853515625,-0.013384975492954254,0.0025655838966486045,0.9997013093961868,0.9392690764740109,4470,0.0003
1333,3661824,2746,447,941.2639910400001,255.67,9.32082479323526e-05,0.036597908,0.176569864153862,0.2,0.34017333984375,-0.028380582109093666,0.001466041029925691,0.9997225447150413,0.9455932534765452,4480,0.0003
1333,3670016,2752,448,943.7343993,256.49,4.239976980073834e-05,0.03708097,0.175802543759346,0.2,0.32813720703125,-0.04645918309688568,0.003118716780045361,0.9998808303644182,0.9580877057742327,4490,0.0003
1333,3678208,2758,449,941.8217714199999,256.17,4.2804083997793894e-05,0.03633187,0.1756598949432373,0.2,0.32320556640625,-0.029903119429945946,-0.00031419562474184205,0.9998933113820385,0.9608632307965308,4500,0.0003
1333,3686400,2764,450,942.62480646,256.31,0.0037101222770445476,0.03631515,0.17496319115161896,0.2,0.3275390625,0.009480124339461327,-1.2737850374833215e-05,0.9929160382598639,0.9671735529322177,4510,0.0003
1333,3694592,2770,451,940.5068202999998,255.85,0.00018934805630124174,0.035324823,0.1757867932319641,0.2,0.3276123046875,-0.03529675304889679,0.0020636077448216382,0.9981716779293492,0.9697734473273159,4520,0.0003
1333,3702784,2777,452,943.77053133,256.33,0.00012410292451363602,0.041170016,0.17412352561950684,0.2,0.34727783203125,0.00793922133743763,0.0015318576529352868,0.9992659174022265,0.9808809105306864,4530,0.0003
1333,3710976,2783,453,939.9456822900001,255.87,5.406506606391304e-05,0.037572645,0.17366015911102295,0.2,0.3274169921875,-0.005729692988097668,0.0023607792705661267,0.99981114116963,0.9987333234399557,4540,0.0003
1333,3719168,2789,454,942.1653839000002,256.61,0.003944201972512928,0.044014145,0.1752796173095703,0.2,0.37022705078125,0.013571090064942837,0.0011695942621372524,0.9897087765857577,0.9786628676578403,4550,0.0003
1333,3727360,2795,455,942.0579794,256.76,0.00015831800561443287,0.032381415,0.17466028034687042,0.2,0.319091796875,-0.007284036837518215,0.0008937075366702629,0.9991074083955027,0.9800383337773383,4560,0.0003
1333,3735552,2801,456,945.45347414,257.77,0.003884092676508999,0.037715357,0.17581164836883545,0.2,0.33822021484375,-0.017136383801698685,0.002020407809141034,0.9924301239661872,0.9680713819805533,4570,0.0003
1333,3743744,2807,457,937.65293096,256.4,0.0011682844961399042,0.042618554,0.1736731082201004,0.2,0.32906494140625,-0.018320297822356224,0.003187880940276955,0.9954018122516572,0.989596956083551,4580,0.0003
