rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl,train/n_updates
862.9935586400003,339968,271.01,166,764,444,-0.015151416471053381,0.0008521725538230384,-1.5399991549551486,0.4094354212284088,0.0003,0.2,0.193603515625,-0.009605545550584793,0.9975052806548774,0.015695559,1650
865.5089868500003,342016,271.18,167,764,447,-0.014801652959431522,0.001161750781466253,-1.5515146721154451,0.41278839111328125,0.0003,0.2,0.204541015625,-2.566579496487975e-05,0.9967279394622892,0.018104123,1660
858.7641040000001,344064,268.73,168,764,450,-0.016100943797209766,0.0011037293532353942,-1.5699398051947355,0.4149690568447113,0.0003,0.2,0.2244140625,-0.03138067573308945,0.9960955022834241,0.018162897,1670
857.1951710300001,346112,267.41,169,764,452,-0.01449790463084355,0.0014275579915192793,-1.5998477540910243,0.4197714030742645,0.0003,0.2,0.1966796875,-0.04069735109806061,0.9954799725674093,0.015942717,1680
857.5335658499998,348160,266.34,170,764,455,-0.01159987526043551,0.0020148006309682388,-1.6177704002708198,0.42013370990753174,0.0003,0.2,0.222119140625,-0.041451595723629,0.9942339565604925,0.018087659,1690
856.29680643,350208,265.18,171,764,458,-0.014501055610890035,0.0008318943162521463,-1.6000410821288824,0.41579103469848633,0.0003,0.2,0.193359375,-0.03452666476368904,0.9961661684792489,0.016776301,1700
853.7497506100001,352256,263.88,172,764,460,-0.014073765363718849,0.0010778339172247797,-1.5797088608145713,0.4152703583240509,0.0003,0.2,0.189013671875,-0.01431451179087162,0.9966538425069302,0.017995473,1710
855.3106316499999,354304,263.82,173,764,463,-0.013134726336284075,0.0007979098426403652,-1.571677338704467,0.4133348762989044,0.0003,0.2,0.218115234375,0.021479379385709763,0.9970997869968414,0.021441601,1720
851.7971992699999,356352,262.38,174,764,466,-0.017633443781232928,0.0007873433393797314,-1.5773441810160875,0.41531339287757874,0.0003,0.2,0.184423828125,-0.03383978456258774,0.9972492109518498,0.01833634,1730
848.3397486899999,358400,260.97,175,764,469,-0.014374853481422178,0.0005894174329114321,-1.557272607088089,0.408772736787796,0.0003,0.2,0.22060546875,-0.06309429556131363,0.9982072882121429,0.025055852,1740
852.6784046699998,360448,261.86,176,764,471,-0.013435831533570308,0.0009861334840024938,-1.549617115035653,0.411956787109375,0.0003,0.2,0.212451171875,-0.060075536370277405,0.9969019449781626,0.021217583,1750
862.5029376300001,362496,264.35,177,764,474,-0.01750241893751081,0.001306954557003337,-1.5633690174669028,0.41183900833129883,0.0003,0.2,0.229638671875,-0.009764446876943111,0.9957599290646613,0.022127125,1760
865.27999948,364544,264.79,178,764,476,-0.013867709961778019,0.0008708057815056236,-1.5574008747935295,0.41193100810050964,0.0003,0.2,0.225,-0.004536178894340992,0.9965367827098817,0.019252557,1770
875.55736656,366592,267.4,179,764,479,-0.0151552802984952,0.0007749033666186733,-1.5568119879812001,0.41279497742652893,0.0003,0.2,0.20615234375,-0.024193035438656807,0.9975786507129669,0.018519927,1780
875.1844107000001,368640,267.42,180,764,482,-0.015399254247313365,0.0006422483296773862,-1.5532737001776695,0.4104888141155243,0.0003,0.2,0.195068359375,-0.027620304375886917,0.9973170077428222,0.020259112,1790
884.42516781,370688,269.5,181,764,485,-0.011797520068648737,0.033212150940744326,-1.5496619261801243,0.4122147858142853,0.0003,0.2,0.211865234375,-0.003769294358789921,0.9180591404438019,0.022477198,1800
882.8329652599999,372736,269.1,182,764,487,-0.011656650276563596,0.0015720660729130031,-1.5264463223516942,0.40660908818244934,0.0003,0.2,0.2451171875,0.028493201360106468,0.9921015361323953,0.02304577,1810
881.59246376,374784,268.97,183,764,490,-0.008994690870167688,0.018727325994404964,-1.5098719589412213,0.4059656858444214,0.0003,0.2,0.2212890625,-0.003824327141046524,0.9311498999595642,0.016416358,1820
